texto,tipo,sentimiento_general,estrellas,aspecto_comida,aspecto_servicio,aspecto_limpieza,aspecto_precio
"En el Restaurante La Paceña, el desayuno fue normal. Asimismo, la limpieza del lugar es muy limpio. Por otro lado, nos atendieron de forma normal.",restaurante,positivo,4,neutral,neutral,positivo,no_mencionado
"En el Hotel Andino, los precios son económico para lo que ofrece. Por otro lado, la comida es excelente.",hotel,positivo,5,positivo,no_mencionado,no_mencionado,positivo
"En el Hotel Real Audiencia, los precios son razonable. En cuanto al resto, el personal fue aceptable. Asimismo, los platillos fueron fría cuando debía estar caliente. Por otro lado, todo se veía descuidada.",hotel,neutral,2,negativo,neutral,negativo,positivo
"En la Parrilla del Valle, la relación precio-calidad es razonable dentro del mercado. En cuanto al resto, las habitaciones estaban con mal olor.",restaurante,negativo,2,no_mencionado,no_mencionado,negativo,neutral
"En el Restaurante Sabor Andino, nos atendieron de forma descortés. También, el desayuno fue excelente. Además, las tarifas resultaron promedio. En cuanto al resto, el aseo general fue normal.",restaurante,neutral,3,positivo,negativo,neutral,neutral
"En el Hostal Sol Naciente, la limpieza del lugar es adecuada. En cuanto al resto, las tarifas resultaron razonable. Asimismo, nos atendieron de forma excelente.",hotel,positivo,4,no_mencionado,positivo,neutral,positivo
"En el Hotel Plaza Mayor, las habitaciones estaban con mal olor. En cuanto al resto, la atención del staff fue lento. También, los platillos fueron correcta. También, el costo nos pareció muy caro.",hotel,negativo,2,neutral,negativo,negativo,negativo
"En el Hotel Plaza Mayor, los precios son excesivo. En cuanto al resto, el aseo general fue sucia.",hotel,negativo,1,no_mencionado,no_mencionado,negativo,negativo
"En el Restaurante Los Yungas, las habitaciones estaban deficiente. Por otro lado, los platillos fueron sin nada especial. Asimismo, las tarifas resultaron similar al de la competencia. Además, la atención del staff fue muy demorado.",restaurante,negativo,2,neutral,negativo,negativo,neutral
"En el Hostal Kantuta, la comida estuvo recién preparada y sabrosa. Asimismo, la limpieza del lugar es muy limpio.",hotel,positivo,5,positivo,no_mencionado,positivo,no_mencionado
"En el Restaurante Sabor Andino, el servicio fue lento. Asimismo, la relación precio-calidad es razonable dentro del mercado. En cuanto al resto, el desayuno fue de mala calidad. Asimismo, todo se veía normal.",restaurante,negativo,2,negativo,negativo,neutral,neutral
"En el Restaurante Sabor Andino, el servicio fue indiferente. Por otro lado, todo se veía muy limpio.",restaurante,neutral,3,no_mencionado,negativo,positivo,no_mencionado
"En la Cantina Altiplano, nos atendieron de forma profesional. Por otro lado, todo se veía cuidada hasta el último detalle.",restaurante,positivo,5,no_mencionado,positivo,positivo,no_mencionado
"En el Hotel Plaza Mayor, la comida estuvo excelente. También, la limpieza del lugar es por debajo de lo esperado.",hotel,neutral,3,positivo,no_mencionado,negativo,no_mencionado
"En el Hotel Illimani, los platillos fueron muy sabrosa. También, el servicio fue rápido y amable. Asimismo, las tarifas resultaron una excelente relación precio-calidad. Por otro lado, el aseo general fue muy limpio.",hotel,positivo,5,positivo,positivo,positivo,positivo
"En el Restaurante Sabor Andino, la limpieza del lugar es muy limpio. En cuanto al resto, los precios son justo. Por otro lado, la comida estuvo de mala calidad.",restaurante,positivo,4,negativo,no_mencionado,positivo,positivo
"En el Restaurante Rincón Cochabambino, los precios son razonable dentro del mercado. En cuanto al resto, la comida es deliciosa.",restaurante,positivo,4,positivo,no_mencionado,no_mencionado,neutral
"En el Restaurante Sabor Andino, la relación precio-calidad es más alto de lo que justifica la experiencia. En cuanto al resto, la comida es exquisita. Asimismo, todo se veía adecuada.",restaurante,neutral,3,positivo,no_mencionado,neutral,negativo
"En el Restaurante La Paceña, el desayuno fue muy sabrosa. Asimismo, la limpieza del lugar es impoluto. Asimismo, el personal fue normal. También, el costo nos pareció promedio.",restaurante,positivo,4,positivo,neutral,positivo,neutral
"En el Hotel Los Pinos, la relación precio-calidad es razonable dentro del mercado. Además, la comida estuvo de primera calidad.",hotel,positivo,4,positivo,no_mencionado,no_mencionado,neutral
"En el Hotel Plaza Mayor, la relación precio-calidad es promedio. Además, el servicio fue deficiente. También, todo se veía deficiente.",hotel,negativo,2,no_mencionado,negativo,negativo,neutral
"En el Hotel Mirador del Valle, nos atendieron de forma excelente. También, el desayuno fue decepcionante. En cuanto al resto, todo se veía normal.",hotel,neutral,3,negativo,positivo,neutral,no_mencionado
"En la Parrilla del Valle, el costo nos pareció justo. También, el personal fue muy demorado.",restaurante,neutral,3,no_mencionado,negativo,no_mencionado,positivo
"En el Hostal Kantuta, el aseo general fue adecuada. También, el costo nos pareció no vale lo que cuesta. También, la atención del staff fue estándar.",hotel,negativo,2,no_mencionado,neutral,neutral,negativo
"En el Restaurante Sabor Andino, todo se veía reluciente. Por otro lado, las tarifas resultaron más alto de lo que justifica la experiencia. En cuanto al resto, nos atendieron de forma aceptable. Además, la comida estuvo correcta.",restaurante,neutral,3,neutral,neutral,positivo,negativo
"En el Restaurante Los Yungas, la relación precio-calidad es muy accesible. En cuanto al resto, la comida es increíble. En cuanto al resto, la atención del staff fue lento.",restaurante,positivo,4,positivo,negativo,no_mencionado,positivo
"En el Hotel Illimani, nos atendieron de forma rápido y amable. En cuanto al resto, el costo nos pareció justo.",hotel,positivo,5,no_mencionado,positivo,no_mencionado,positivo
"En el Hotel Real Audiencia, la comida estuvo muy sabrosa. En cuanto al resto, nos atendieron de forma muy atento. También, las tarifas resultaron muy caro. Por otro lado, todo se veía sucia.",hotel,neutral,3,positivo,positivo,negativo,negativo
"En el Hotel Real Audiencia, el aseo general fue normal. Además, el costo nos pareció promedio. Asimismo, el desayuno fue muy sabrosa. Además, nos atendieron de forma normal.",hotel,neutral,4,positivo,neutral,neutral,neutral
"En la Parrilla del Valle, la comida estuvo de primera calidad. También, el costo nos pareció razonable. También, la atención del staff fue descortés.",restaurante,positivo,4,positivo,negativo,no_mencionado,positivo
"En el Hotel Andino, el desayuno fue correcta. Además, la limpieza del lugar es reluciente. Además, la relación precio-calidad es similar al de la competencia. Asimismo, la atención del staff fue atento en todo momento.",hotel,positivo,4,neutral,positivo,positivo,neutral
"En el Hostal Kantuta, todo se veía con mal olor. Asimismo, las tarifas resultaron muy caro. En cuanto al resto, el servicio fue normal. Además, la comida estuvo normal.",hotel,negativo,2,neutral,neutral,negativo,negativo
"En el Hotel Plaza Mayor, los precios son económico para lo que ofrece. En cuanto al resto, el aseo general fue deficiente. Además, el servicio fue lento. En cuanto al resto, el desayuno fue poco fresca.",hotel,negativo,2,negativo,negativo,negativo,positivo
"En el Hostal Sol Naciente, el desayuno fue sin nada especial. Asimismo, las habitaciones estaban reluciente. Asimismo, el costo nos pareció razonable. En cuanto al resto, el personal fue pésimo.",hotel,neutral,4,neutral,negativo,positivo,positivo
"En el Hotel Real Audiencia, la atención del staff fue muy cordial. Además, todo se veía impecable.",hotel,positivo,5,no_mencionado,positivo,positivo,no_mencionado
"En el Restaurante La Paceña, nos atendieron de forma lento. Además, la limpieza del lugar es aceptable.",restaurante,negativo,2,no_mencionado,negativo,neutral,no_mencionado
"En el Restaurante Los Yungas, el aseo general fue deficiente. Además, los platillos fueron poco fresca.",restaurante,negativo,1,negativo,no_mencionado,negativo,no_mencionado
"En el Hotel Plaza Mayor, la limpieza del lugar es impecable. Además, los platillos fueron increíble. Por otro lado, la atención del staff fue muy cordial.",hotel,positivo,5,positivo,positivo,positivo,no_mencionado
"En la Parrilla del Valle, todo se veía aceptable. Por otro lado, los precios son una excelente relación precio-calidad. Además, el personal fue pésimo. Además, la comida estuvo insípida.",restaurante,neutral,2,negativo,negativo,neutral,positivo
"En el Restaurante Sabor Andino, todo se veía sucia. Además, las tarifas resultaron sobrevalorado. Por otro lado, el personal fue indiferente. En cuanto al resto, los platillos fueron increíble.",restaurante,negativo,2,positivo,negativo,negativo,negativo
"En el Restaurante Los Yungas, la comida es exquisita. También, la limpieza del lugar es aceptable. Además, el costo nos pareció excesivo.",restaurante,neutral,3,positivo,no_mencionado,neutral,negativo
"En el Café Illimani, el servicio fue deficiente. Además, la comida estuvo decepcionante.",restaurante,negativo,1,negativo,negativo,no_mencionado,no_mencionado
"En el Hotel Illimani, el personal fue atento en todo momento. También, las habitaciones estaban con mal olor.",hotel,neutral,3,no_mencionado,positivo,negativo,no_mencionado
"En la Parrilla del Valle, los precios son una excelente relación precio-calidad. En cuanto al resto, la comida estuvo fría cuando debía estar caliente. En cuanto al resto, el servicio fue pésimo. Por otro lado, el aseo general fue normal.",restaurante,neutral,2,negativo,negativo,neutral,positivo
"En el Hotel Mirador del Valle, la relación precio-calidad es similar al de la competencia. También, la comida estuvo aceptable. Asimismo, el personal fue muy atento. Asimismo, las habitaciones estaban reluciente.",hotel,positivo,4,neutral,positivo,positivo,neutral
"En el Restaurante Los Yungas, las tarifas resultaron no vale lo que cuesta. También, las habitaciones estaban muy limpio. Asimismo, la atención del staff fue muy demorado.",restaurante,negativo,2,no_mencionado,negativo,positivo,negativo
"En el Hostal Sol Naciente, la relación precio-calidad es una excelente relación precio-calidad. También, todo se veía impoluto.",hotel,positivo,5,no_mencionado,no_mencionado,positivo,positivo
"En el Restaurante Rincón Cochabambino, el costo nos pareció justo. Asimismo, todo se veía impoluto. También, la comida es estándar. Por otro lado, la atención del staff fue pésimo.",restaurante,neutral,4,neutral,negativo,positivo,positivo
"En el Restaurante Sabor Andino, las tarifas resultaron promedio. También, el servicio fue rápido y amable. Asimismo, los platillos fueron increíble.",restaurante,positivo,4,positivo,positivo,no_mencionado,neutral
"En el Restaurante Fogón Criollo, el aseo general fue cuidada hasta el último detalle. En cuanto al resto, nos atendieron de forma profesional. Por otro lado, los platillos fueron decepcionante.",restaurante,positivo,4,negativo,positivo,positivo,no_mencionado
"En el Restaurante Los Yungas, las habitaciones estaban adecuada. Asimismo, el costo nos pareció promedio. Asimismo, nos atendieron de forma atento en todo momento.",restaurante,positivo,4,no_mencionado,positivo,neutral,neutral
"En la Parrilla del Valle, las tarifas resultaron muy caro. Además, la limpieza del lugar es aceptable.",restaurante,negativo,2,no_mencionado,no_mencionado,neutral,negativo
"En el Restaurante Rincón Cochabambino, la atención del staff fue aceptable. También, todo se veía adecuada. Asimismo, la comida es poco fresca. Asimismo, el costo nos pareció más alto de lo que justifica la experiencia.",restaurante,negativo,2,negativo,neutral,neutral,negativo
"En el Hotel Mirador del Valle, los precios son muy accesible. Asimismo, nos atendieron de forma pésimo. También, la comida es exquisita. En cuanto al resto, el aseo general fue sucia.",hotel,neutral,3,positivo,negativo,negativo,positivo
"En el Hotel Los Pinos, los precios son razonable dentro del mercado. Además, el desayuno fue recién preparada y sabrosa. Asimismo, el aseo general fue muy limpio.",hotel,positivo,4,positivo,no_mencionado,positivo,neutral
"En el Hotel Plaza Mayor, la comida estuvo fría cuando debía estar caliente. En cuanto al resto, la atención del staff fue atento en todo momento.",hotel,neutral,3,negativo,positivo,no_mencionado,no_mencionado
"En el Hotel Illimani, el servicio fue profesional. También, el desayuno fue recién preparada y sabrosa. También, todo se veía por debajo de lo esperado. Además, las tarifas resultaron razonable dentro del mercado.",hotel,neutral,4,positivo,positivo,negativo,neutral
"En el Hotel Mirador del Valle, el costo nos pareció similar al de la competencia. Por otro lado, la comida es aceptable. Por otro lado, la limpieza del lugar es normal. También, el personal fue estándar.",hotel,neutral,3,neutral,neutral,neutral,neutral
"En el Restaurante Sabor Andino, las tarifas resultaron razonable. Además, la atención del staff fue muy cordial. Asimismo, la comida es increíble.",restaurante,positivo,5,positivo,positivo,no_mencionado,positivo
"En el Hotel Real Audiencia, la limpieza del lugar es normal. Asimismo, las tarifas resultaron promedio. También, nos atendieron de forma muy cordial.",hotel,positivo,4,no_mencionado,positivo,neutral,neutral
"En el Restaurante Sabor Andino, el desayuno fue muy sabrosa. Asimismo, nos atendieron de forma normal.",restaurante,positivo,4,positivo,neutral,no_mencionado,no_mencionado
"En el Hotel Plaza Mayor, la relación precio-calidad es una excelente relación precio-calidad. También, todo se veía deficiente.",hotel,neutral,3,no_mencionado,no_mencionado,negativo,positivo
"En el Hotel Plaza Mayor, el aseo general fue normal. Asimismo, el personal fue excelente.",hotel,positivo,4,no_mencionado,positivo,neutral,no_mencionado
"En el Hostal Sol Naciente, la comida estuvo exquisita. Asimismo, las habitaciones estaban descuidada. Por otro lado, nos atendieron de forma muy demorado.",hotel,negativo,2,positivo,negativo,negativo,no_mencionado
"En el Restaurante Fogón Criollo, las tarifas resultaron más alto de lo que justifica la experiencia. Asimismo, el servicio fue atento en todo momento.",restaurante,neutral,3,no_mencionado,positivo,no_mencionado,negativo
"En el Hotel Illimani, las tarifas resultaron similar al de la competencia. Además, las habitaciones estaban reluciente.",hotel,positivo,4,no_mencionado,no_mencionado,positivo,neutral
"En el Café Illimani, la relación precio-calidad es similar al de la competencia. Por otro lado, las habitaciones estaban adecuada. Asimismo, la comida es estándar. Asimismo, el personal fue normal.",restaurante,neutral,3,neutral,neutral,neutral,neutral
"En el Restaurante Los Yungas, el aseo general fue muy limpio. Por otro lado, la comida estuvo de mala calidad. Asimismo, el personal fue deficiente. Asimismo, el costo nos pareció sobrevalorado.",restaurante,negativo,2,negativo,negativo,positivo,negativo
"En el Hotel Illimani, nos atendieron de forma rápido y amable. Asimismo, las tarifas resultaron justo. Además, los platillos fueron recién preparada y sabrosa.",hotel,positivo,5,positivo,positivo,no_mencionado,positivo
"En el Restaurante Los Yungas, las habitaciones estaban con mal olor. Además, la relación precio-calidad es muy caro.",restaurante,negativo,1,no_mencionado,no_mencionado,negativo,negativo
"En el Hotel Real Audiencia, los precios son económico para lo que ofrece. Por otro lado, los platillos fueron normal. En cuanto al resto, todo se veía adecuada. Además, nos atendieron de forma correcto.",hotel,neutral,4,neutral,neutral,neutral,positivo
"En el Restaurante Rincón Cochabambino, el aseo general fue adecuada. También, nos atendieron de forma descortés. Asimismo, las tarifas resultaron justo.",restaurante,neutral,3,no_mencionado,negativo,neutral,positivo
"En el Restaurante Los Yungas, el desayuno fue de primera calidad. Además, el personal fue muy cordial. Por otro lado, los precios son no vale lo que cuesta. Asimismo, todo se veía normal.",restaurante,neutral,4,positivo,positivo,neutral,negativo
"En el Hotel Real Audiencia, los precios son razonable dentro del mercado. Además, nos atendieron de forma muy cordial. También, los platillos fueron sin nada especial.",hotel,positivo,4,neutral,positivo,no_mencionado,neutral
"En el Café Illimani, los precios son promedio. Asimismo, el personal fue lento. Asimismo, las habitaciones estaban con mal olor. También, la comida es sin nada especial.",restaurante,negativo,2,neutral,negativo,negativo,neutral
"En el Hotel Andino, la relación precio-calidad es razonable. Por otro lado, la comida estuvo correcta. También, el aseo general fue sucia. Asimismo, el servicio fue profesional.",hotel,neutral,4,neutral,positivo,negativo,positivo
"En el Restaurante Los Yungas, nos atendieron de forma muy demorado. También, la comida es increíble. También, las tarifas resultaron razonable. Por otro lado, todo se veía cuidada hasta el último detalle.",restaurante,positivo,4,positivo,negativo,positivo,positivo
"En el Hostal Sol Naciente, las habitaciones estaban aceptable. En cuanto al resto, los platillos fueron excelente. En cuanto al resto, nos atendieron de forma muy atento. Asimismo, las tarifas resultaron muy accesible.",hotel,positivo,4,positivo,positivo,neutral,positivo
"En el Restaurante Sabor Andino, la comida estuvo normal. Además, el costo nos pareció similar al de la competencia. Asimismo, las habitaciones estaban impecable. Por otro lado, el personal fue correcto.",restaurante,neutral,4,neutral,neutral,positivo,neutral
"En el Hostal Kantuta, el desayuno fue sin nada especial. Por otro lado, la limpieza del lugar es por debajo de lo esperado. Asimismo, la relación precio-calidad es más alto de lo que justifica la experiencia.",hotel,negativo,2,neutral,no_mencionado,negativo,negativo
"En el Hotel Mirador del Valle, el costo nos pareció más alto de lo que justifica la experiencia. También, el desayuno fue muy grasosa. Por otro lado, el aseo general fue por debajo de lo esperado.",hotel,negativo,1,negativo,no_mencionado,negativo,negativo
"En el Restaurante Los Yungas, los platillos fueron insípida. También, las habitaciones estaban normal. Asimismo, el costo nos pareció razonable dentro del mercado.",restaurante,negativo,2,negativo,no_mencionado,neutral,neutral
"En el Restaurante Fogón Criollo, los precios son razonable. En cuanto al resto, nos atendieron de forma normal.",restaurante,positivo,4,no_mencionado,neutral,no_mencionado,positivo
"En el Hotel Los Pinos, todo se veía reluciente. Además, el costo nos pareció excesivo. También, la comida es muy grasosa. También, el servicio fue muy demorado.",hotel,negativo,2,negativo,negativo,positivo,negativo
"En el Café Illimani, el personal fue muy demorado. En cuanto al resto, la limpieza del lugar es deficiente.",restaurante,negativo,1,no_mencionado,negativo,negativo,no_mencionado
"En el Restaurante Fogón Criollo, las tarifas resultaron sobrevalorado. Además, el servicio fue indiferente. También, la comida es muy grasosa. En cuanto al resto, todo se veía por debajo de lo esperado.",restaurante,negativo,1,negativo,negativo,negativo,negativo
"En el Hotel Illimani, la relación precio-calidad es económico para lo que ofrece. Además, la comida es exquisita.",hotel,positivo,5,positivo,no_mencionado,no_mencionado,positivo
"En la Cantina Altiplano, las habitaciones estaban deficiente. En cuanto al resto, los precios son económico para lo que ofrece. Asimismo, el servicio fue descortés. También, los platillos fueron normal.",restaurante,neutral,2,neutral,negativo,negativo,positivo
"En el Hotel Andino, el personal fue aceptable. En cuanto al resto, todo se veía por debajo de lo esperado. Por otro lado, el desayuno fue correcta.",hotel,negativo,2,neutral,neutral,negativo,no_mencionado
"En el Restaurante Rincón Cochabambino, la relación precio-calidad es muy caro. También, el servicio fue pésimo. Además, el aseo general fue normal.",restaurante,negativo,2,no_mencionado,negativo,neutral,negativo
"En el Restaurante Rincón Cochabambino, nos atendieron de forma atento en todo momento. Además, los platillos fueron deliciosa. En cuanto al resto, todo se veía adecuada.",restaurante,positivo,4,positivo,positivo,neutral,no_mencionado
"En el Hotel Los Pinos, nos atendieron de forma aceptable. En cuanto al resto, la comida es insípida.",hotel,negativo,2,negativo,neutral,no_mencionado,no_mencionado
"En la Cantina Altiplano, la comida estuvo muy grasosa. Por otro lado, nos atendieron de forma muy demorado. Asimismo, las tarifas resultaron muy caro. Además, todo se veía sucia.",restaurante,negativo,1,negativo,negativo,negativo,negativo
"En el Restaurante Fogón Criollo, la relación precio-calidad es muy caro. En cuanto al resto, la comida estuvo sin nada especial. Por otro lado, el servicio fue muy cordial. En cuanto al resto, todo se veía por debajo de lo esperado.",restaurante,neutral,2,neutral,positivo,negativo,negativo
"En el Restaurante La Paceña, la atención del staff fue normal. Por otro lado, el costo nos pareció excesivo. Además, la comida estuvo correcta. También, todo se veía cuidada hasta el último detalle.",restaurante,neutral,3,neutral,neutral,positivo,negativo
"En el Restaurante Rincón Cochabambino, los platillos fueron sin nada especial. Además, las habitaciones estaban aceptable. Por otro lado, el personal fue lento.",restaurante,negativo,2,neutral,negativo,neutral,no_mencionado
"En el Hostal Kantuta, la limpieza del lugar es impoluto. Asimismo, las tarifas resultaron una excelente relación precio-calidad.",hotel,positivo,5,no_mencionado,no_mencionado,positivo,positivo
"En el Restaurante Rincón Cochabambino, la comida estuvo correcta. Además, el personal fue muy atento. También, el aseo general fue cuidada hasta el último detalle.",restaurante,positivo,4,neutral,positivo,positivo,no_mencionado
"En el Restaurante La Paceña, todo se veía sucia. Asimismo, nos atendieron de forma atento en todo momento. Por otro lado, el costo nos pareció muy accesible.",restaurante,positivo,4,no_mencionado,positivo,negativo,positivo
"En la Cantina Altiplano, el costo nos pareció sobrevalorado. En cuanto al resto, el aseo general fue adecuada.",restaurante,negativo,2,no_mencionado,no_mencionado,neutral,negativo
"En la Cantina Altiplano, el costo nos pareció similar al de la competencia. Por otro lado, las habitaciones estaban impecable. Asimismo, la comida estuvo decepcionante. También, nos atendieron de forma excelente.",restaurante,neutral,4,negativo,positivo,positivo,neutral
